,t,Ba,Zr,S,x,y,nBa,nZr,nS,Baat,Zrat,Sat,BZ,Ba/BZ,Baerr,Zrerr,Serr,BZerr
17,279.9,44.36,27.45,28.2,31,2,0.32302460550365186,0.30090765588003154,0.8794635895836582,21.48633078212938,20.015197972404685,58.498471245465936,1.0735007873393494,0.5177238387822517,0.6445899234638813,0.6004559391721406,1.754954137363978,0.010593274121335958
18,273.0,44.36,27.71,27.93,30,2,0.32302460550365186,0.303757783039551,0.8710431935131764,21.56623637447614,20.279916879408546,58.15384674611531,1.0634282429615711,0.5153696265372754,0.6469870912342842,0.6083975063822563,1.7446154023834592,0.010596579522020417
19,279.8,43.11,28.9,27.99,29,2,0.31392224398698,0.31680259580812065,0.8729143926399501,20.877497554955543,21.069056258599904,58.05344618644456,0.9909080548604937,0.4977166335940754,0.6263249266486662,0.632071687757997,1.7416033855933368,0.010606380516604175
20,276.6,43.65,28.03,28.31,28,2,0.3178544641621822,0.3072656318512672,0.8828941213160767,21.07768351979176,20.375512930865465,58.546803549342776,1.034461492641131,0.5084694384154682,0.6323305055937527,0.611265387925964,1.7564041064802833,0.0106035584127848
21,277.7,43.1,28.73,28.17,27,2,0.31384942509484665,0.3149390511268964,0.8785279900202715,20.821733997063294,20.894023131857022,58.28424287107967,0.9965402003081202,0.4991335512073972,0.6246520199118988,0.6268206939557106,1.74852728613239,0.010606569866872856
22,273.7,42.8,28.41,28.79,26,2,0.31166485833084534,0.3114312023151802,0.8978637143302667,20.49132813757046,20.47596573157463,59.032706130854905,1.000750265271842,0.5001874959820986,0.6147398441271138,0.6142789719472388,1.770981183925647,0.01060660022630877
23,278.3,41.7,29.63,28.66,25,2,0.30365478019617415,0.32480487590984825,0.8938094495555903,19.947509876330237,21.336889430511086,58.71560069315868,0.9348836877696859,0.4831730680655609,0.598425296289907,0.6401066829153326,1.7614680207947602,0.01059458886574278
24,278.7,41.77,29.62,28.61,24,2,0.30416451244110776,0.32469525563448215,0.8922501169499455,19.996222195084982,21.345943434522574,58.65783437039245,0.9367691925363814,0.4836762150835299,0.5998866658525495,0.6403783030356772,1.7597350311117734,0.010595296524816524
25,273.3,41.92,29.16,28.92,23,2,0.3052567958231084,0.3196527229676401,0.9019179791049432,19.99288041666922,20.935745747845953,59.07137383548482,0.9549638526120454,0.4884815907650207,0.5997864125000766,0.6280723724353786,1.7721412150645446,0.010600972847244244
26,286.7,44.07,27.87,28.05,22,2,0.320912857631784,0.3055117074454091,0.8747855917667239,21.37694420523094,20.351028538716022,58.272027256053036,1.0504109983710752,0.5122929008894128,0.6413083261569282,0.6105308561614806,1.748160817681591,0.010600190433832445
27,266.3,41.55,29.35,29.09,21,2,0.30256249681417346,0.3217355081995966,0.9072197099641354,19.75572948684687,21.00762564174703,59.23664487140611,0.9404075369463767,0.48464434354151087,0.5926718846054061,0.6302287692524109,1.7770993461421831,0.010596597732903225
